"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Marine";"Barracks";96
"Unit";"Marine";"Barracks";97
"Unit";"Marine";"Barracks";98
"Unit";"Marine";"Barracks";99
"Unit";"Marine";"Barracks";103
"Unit";"Marine";"Barracks";104
"Unit";"Marine";"Barracks";108
"Unit";"Marine";"Barracks";109
"Unit";"Marine";"Barracks";110
"Unit";"Marine";"Barracks";111
"Unit";"Marine";"Barracks";112
"Unit";"Marine";"Barracks";113
"Building";"MissileTurret";NA;116
"Unit";"Marine";"Barracks";116
"Unit";"Marine";"Barracks";117
"Unit";"Marine";"Barracks";118
"Unit";"Marine";"Barracks";119
"Unit";"Marine";"Barracks";120
"Unit";"Marine";"Barracks";121
"Unit";"Marine";"Barracks";122
"Unit";"Marine";"Barracks";123
"Unit";"Medivac";"Starport";124
"Unit";"Medivac";"Starport";126
"Unit";"Marine";"Barracks";128
"Unit";"Marine";"Barracks";129
"Unit";"Marine";"Barracks";130
"Unit";"Marine";"Barracks";131
"Unit";"Marine";"Barracks";132
"Unit";"Marine";"Barracks";133
"Unit";"Marine";"Barracks";134
"Unit";"Marine";"Barracks";135
"Unit";"Marine";"Barracks";136
"Unit";"Marine";"Barracks";137
"Unit";"Marine";"Barracks";138
"Upgrade";"TerranInfantryWeaponsLevel2";"EngineeringBay";139
"Unit";"Marine";"Barracks";139
"Unit";"Marine";"Barracks";140
"Unit";"Medivac";"Starport";141
"Unit";"Medivac";"Starport";143
"Unit";"Marine";"Barracks";145
"Unit";"Marine";"Barracks";146
"Unit";"Marine";"Barracks";147
"Unit";"Marine";"Barracks";148
"Unit";"Marine";"Barracks";149
"Unit";"Marine";"Barracks";150
"Unit";"Marauder";"Barracks";151
"Unit";"Marine";"Barracks";153
"Unit";"Marine";"Barracks";154
"Building";"CommandCenter";NA;155
"Unit";"Marine";"Barracks";155
"Building";"Refinery";NA;156
"Building";"Refinery";NA;156
"Unit";"Marine";"Barracks";156
"Unit";"Marauder";"Barracks";157
"Unit";"Marine";"Barracks";159
"Unit";"Marine";"Barracks";160
"Unit";"Marine";"Barracks";161
"Unit";"Marine";"Barracks";162
"Unit";"Marine";"Barracks";163
"Unit";"Marine";"Barracks";164
"Unit";"Marauder";"Barracks";165
"Building";"Starport";NA;167
"Building";"FusionCore";NA;167
"Building";"Starport";NA;167
"Unit";"Marine";"Barracks";167
"Unit";"Marine";"Barracks";168
"Unit";"Marine";"Barracks";169
"Unit";"Marine";"Barracks";170
"Building";"MissileTurret";NA;171
"Unit";"Marine";"Barracks";171
"Unit";"Marauder";"Barracks";172
"Unit";"Marine";"Barracks";174
"Unit";"Marine";"Barracks";175
"Unit";"Marine";"Barracks";176
"Unit";"Marine";"Barracks";177
"Unit";"Marine";"Barracks";178
"Unit";"Marine";"Barracks";179
"Unit";"Marine";"Barracks";180
"Unit";"Marine";"Barracks";181
"Unit";"Marine";"Barracks";182
"Unit";"Marine";"Barracks";183
"Unit";"Marauder";"Barracks";184
"Unit";"Marine";"Barracks";186
"Unit";"Marine";"Barracks";187
"Unit";"Marine";"Barracks";188
"Unit";"Marine";"Barracks";189
"Unit";"Marine";"Barracks";190
"Unit";"Marine";"Barracks";191
"Building";"StarportReactor";NA;192
"Unit";"Liberator";"Starport";192
"Unit";"Liberator";"Starport";195
"Unit";"Liberator";"Starport";198
"Unit";"Marauder";"Barracks";201
"Unit";"Marine";"Barracks";203
"Unit";"Marine";"Barracks";204
"Unit";"Marine";"Barracks";205
"Unit";"Marine";"Barracks";206
"Unit";"Marine";"Barracks";207
"Unit";"Marine";"Barracks";208
"Unit";"Marine";"Barracks";209
"Unit";"Marine";"Barracks";210
"Unit";"Liberator";"Starport";211
"Unit";"Liberator";"Starport";214
"Unit";"Marine";"Barracks";217
"Unit";"Marine";"Barracks";218
"Unit";"Marine";"Barracks";219
"Unit";"Marine";"Barracks";220
"Unit";"Marine";"Barracks";221
"Unit";"Marine";"Barracks";222
"Unit";"Marine";"Barracks";223
"Unit";"Marine";"Barracks";224
"Unit";"Marine";"Barracks";225
"Unit";"Marine";"Barracks";226
"Unit";"Marine";"Barracks";227
"Unit";"Marine";"Barracks";228
"Unit";"Marine";"Barracks";229
"Unit";"Medivac";"Starport";230
"Unit";"Medivac";"Starport";232
"Unit";"Medivac";"Starport";234
"Unit";"Marine";"Barracks";236
"Unit";"Marine";"Barracks";237
"Unit";"Marine";"Barracks";238
"Unit";"Marine";"Barracks";239
"Unit";"Marine";"Barracks";240
"Unit";"Marine";"Barracks";241
"Unit";"Marine";"Barracks";242
"Unit";"Marine";"Barracks";243
"Unit";"Liberator";"Starport";244
"Unit";"Marine";"Barracks";247
"Upgrade";"TerranInfantryWeaponsLevel3";"EngineeringBay";248
"Building";"Refinery";NA;248
"Building";"Refinery";NA;248
"Unit";"Marauder";"Barracks";248
"Unit";"Marine";"Barracks";250
"Unit";"Marine";"Barracks";251
"Unit";"Marine";"Barracks";252
"Unit";"Marine";"Barracks";253
"Unit";"Marine";"Barracks";254
"Unit";"Marine";"Barracks";255
"Building";"CommandCenter";NA;256
"Unit";"Marine";"Barracks";256
"Unit";"Marine";"Barracks";257
"Unit";"Marine";"Barracks";258
"Unit";"Marine";"Barracks";259
"Unit";"Marauder";"Barracks";260
"Unit";"Liberator";"Starport";262
"Unit";"Marine";"Barracks";265
"Unit";"Marine";"Barracks";266
"Unit";"Marine";"Barracks";267
"Unit";"Liberator";"Starport";268
"Unit";"Marine";"Barracks";271
"Unit";"Marine";"Barracks";272
"Unit";"Marauder";"Barracks";273
"Unit";"Liberator";"Starport";275
"Unit";"Marine";"Barracks";278
"Unit";"Marine";"Barracks";279
"Unit";"Marine";"Barracks";280
"Building";"Barracks";NA;281
"Unit";"Marine";"Barracks";281
"Unit";"Marine";"Barracks";282
"Unit";"Liberator";"Starport";283
"Unit";"Liberator";"Starport";286
"Unit";"Marauder";"Barracks";289
"Unit";"Marine";"Barracks";291
"Unit";"Marine";"Barracks";292
"Unit";"Marine";"Barracks";293
"Unit";"Marine";"Barracks";294
"Unit";"Marine";"Barracks";295
"Unit";"Marine";"Barracks";296
"Unit";"Marine";"Barracks";297
"Unit";"Marine";"Barracks";298
"Unit";"Liberator";"Starport";299
"Building";"Barracks";NA;302
"Unit";"Marauder";"Barracks";302
"Building";"SensorTower";NA;304
"Unit";"Marine";"Barracks";304
"Unit";"Marine";"Barracks";305
"Building";"BarracksTechLab";NA;306
"Unit";"Liberator";"Starport";306
"Unit";"Liberator";"Starport";309
"Unit";"Medivac";"Starport";312
"Unit";"Banshee";"Starport";314
"Unit";"Marine";"Barracks";317
"Unit";"Marine";"Barracks";318
"Unit";"Liberator";"Starport";319
"Unit";"Marauder";"Barracks";322
"Building";"CommandCenter";NA;324
"Building";"SensorTower";NA;324
"Unit";"Marine";"Barracks";324
"Unit";"Marine";"Barracks";325
"Unit";"Marine";"Barracks";326
"Unit";"Marine";"Barracks";327
"Upgrade";"TerranShipWeaponsLevel1";"Armory";328
"Unit";"Marine";"Barracks";329
"Unit";"Marine";"Barracks";330
"Unit";"Marine";"Barracks";331
"Unit";"Marine";"Barracks";333
"Unit";"Marauder";"Barracks";334
"Unit";"Marine";"Barracks";337
"Unit";"Marauder";"Barracks";338
"Unit";"Marine";"Barracks";346
"Unit";"Marine";"Barracks";347
"Unit";"Liberator";"Starport";348
"Unit";"Liberator";"Starport";351
"Unit";"Marauder";"Barracks";354
"Unit";"Marauder";"Barracks";356
"Unit";"Marine";"Barracks";359
"Unit";"Marine";"Barracks";360
"Unit";"Medivac";"Starport";361
"Unit";"Medivac";"Starport";363
